"event","distinct_id","time","app_build_number","app_release","app_version","app_version_string","bluetooth_enabled","bluetooth_version","brand","carrier","city","ios_ifa","google_play_services","has_nfc","has_telephone","lib_version","manufacturer","model","os","os_version","radio","region","screen_dpi","screen_height","screen_width","wifi","CATEGORY","LogSerialID","mp_country_code","mp_device_model","mp_lib","Campaign","CampaignLogin","from_binding","text","tag"
"main_notification","CBZWZC21","1477212173","1015","4.2.2","1015","4.2.2","false","?","?","中華電信","Taipei","?","?","false","false","2.9.9","Apple","iPhone6,2","iPhone OS","9.3.3","HSDPA","Taipei","0","568","320","false","?","?","TW","iPhone6,2","iphone","?","?","?","?","?"
"homepage_register","e02f62ed-0355-46e1-8f9c-cf454b96d0b2","1477212174","88","88","4.2.3","4.2.3","false","ble","asus","中華電信","?","?","available","true","true","4.9.2","asus","ASUS_Z00XS","Android","5.0","?","?","480","1920","1080","true","?","?","TW","?","android","?","?","?","?","?"
"main_pointsexchange","f75f80b7-909b-47a2-9556-f8883a64c4a0","1477212177","88","88","4.2.3","4.2.3","false","ble","asus","遠傳電信","Taoyuan","?","available","false","true","4.9.2","asus","ASUS_Z00ED","Android","6.0.1","?","Taoyuan","320","1280","720","true","?","?","TW","?","android","?","?","?","?","?"
"main_pointsexchange","BPJAZX66","1477212182","88","88","4.2.3","4.2.3","false","ble","htc","遠傳電信","Taipei","?","available","false","true","4.9.2","HTC","HTC_D728x","Android","5.1","?","Taipei","320","1184","720","true","?","?","TW","?","android","?","?","?","?","?"
"main_view","BPQEVP68","1477212184","1015","4.2.2","1015","4.2.2","false","?","?","遠傳電信","Taipei","?","?","false","false","2.9.9","Apple","iPad5,4","iPhone OS","8.2","None","Taipei","0","480","320","false","?","?","TW","iPad5,4","iphone","?","?","?","?","?"
"main_popularcoupons","BPQEVP68","1477212184","1015","4.2.2","1015","4.2.2","false","?","?","遠傳電信","Taipei","?","?","false","false","2.9.9","Apple","iPad5,4","iPhone OS","8.2","None","Taipei","0","480","320","false","?","?","TW","iPad5,4","iphone","?","?","?","?","?"
"main_view","BWYNGY37","1477212184","1015","4.2.2","1015","4.2.2","false","?","?","中華電信","Kao-sung","?","?","false","false","2.9.9","Apple","iPhone8,4","iOS","10.0.2","LTE","Taiwan","0","568","320","true","?","?","TW","iPhone8,4","iphone","?","?","?","?","?"
"main_shopsales","BWYNGY37","1477212186","1015","4.2.2","1015","4.2.2","false","?","?","中華電信","Kao-sung","?","?","false","false","2.9.9","Apple","iPhone8,4","iOS","10.0.2","LTE","Taiwan","0","568","320","true","?","?","TW","iPhone8,4","iphone","?","?","?","?","?"
"pointsdetail_view","BPJAZX66","1477212188","88","88","4.2.3","4.2.3","false","ble","htc","遠傳電信","Taipei","?","available","false","true","4.9.2","HTC","HTC_D728x","Android","5.1","?","Taipei","320","1184","720","true","A03","A03_2_201606","TW","?","android","?","?","?","?","?"
"main_view","BWYNGY37","1477212189","1015","4.2.2","1015","4.2.2","false","?","?","中華電信","Kao-sung","?","?","false","false","2.9.9","Apple","iPhone8,4","iOS","10.0.2","LTE","Taiwan","0","568","320","true","?","?","TW","iPhone8,4","iphone","?","?","?","?","?"
"main_shopsales","BWYNGY37","1477212190","1015","4.2.2","1015","4.2.2","false","?","?","中華電信","Kao-sung","?","?","false","false","2.9.9","Apple","iPhone8,4","iOS","10.0.2","LTE","Taiwan","0","568","320","true","?","?","TW","iPhone8,4","iphone","?","?","?","?","?"
"main_view","BWYNGY37","1477212193","1015","4.2.2","1015","4.2.2","false","?","?","中華電信","Kao-sung","?","?","false","false","2.9.9","Apple","iPhone8,4","iOS","10.0.2","LTE","Taiwan","0","568","320","true","?","?","TW","iPhone8,4","iphone","?","?","?","?","?"
"main_pointsexchange","BWYNGY37","1477212194","1015","4.2.2","1015","4.2.2","false","?","?","中華電信","Kao-sung","?","?","false","false","2.9.9","Apple","iPhone8,4","iOS","10.0.2","LTE","Taiwan","0","568","320","true","?","?","TW","iPhone8,4","iphone","?","?","?","?","?"
"pointsdetail_view","BPJAZX66","1477212195","88","88","4.2.3","4.2.3","false","ble","htc","遠傳電信","Taipei","?","available","false","true","4.9.2","HTC","HTC_D728x","Android","5.1","?","Taipei","320","1184","720","true","A03","A03_13_201606","TW","?","android","?","?","?","?","?"
"pointsdetail_exchangenow","BPJAZX66","1477212198","88","88","4.2.3","4.2.3","false","ble","htc","遠傳電信","Taipei","?","available","false","true","4.9.2","HTC","HTC_D728x","Android","5.1","?","Taipei","320","1184","720","true","A03","A03_13_201606","TW","?","android","?","?","?","?","?"
"main_creditcardhelper","BPNYDR39","1477212198","88","88","4.2.3","4.2.3","true","ble","samsung","T Star","Kao-sung","?","available","false","true","4.9.2","samsung","SM-J700F","Android","5.1.1","?","Taiwan","320","1280","720","true","?","?","TW","?","android","?","?","?","?","?"
"main_view","BMMSLD45","1477212202","88","88","4.2.3","4.2.3","false","ble","Xiaomi","中華電信","Taipei","?","available","false","true","4.9.2","Xiaomi","Redmi Note 3","Android","6.0.1","?","Taipei","480","1920","1080","true","?","?","TW","?","android","?","?","?","?","?"
"main_view","BSTXMA57","1477212203","88","88","4.2.3","4.2.3","true","ble","lge","Chunghwa","Taipei","?","available","true","true","4.9.2","LGE","LG-D855","Android","5.0","?","Taipei","640","2392","1440","false","?","?","TW","?","android","?","?","?","?","?"
"main_view","CALHQT69","1477212211","1015","4.2.2","1015","4.2.2","false","?","?","遠傳電信","Taipei","?","?","false","false","2.9.9","Apple","iPhone8,1","iOS","10.0.1","None","Taipei","0","667","375","false","?","?","TW","iPhone8,1","iphone","?","?","?","?","?"
"main_creditcardhelper","CALHQT69","1477212212","1015","4.2.2","1015","4.2.2","false","?","?","遠傳電信","Taipei","?","?","false","false","2.9.9","Apple","iPhone8,1","iOS","10.0.1","None","Taipei","0","667","375","false","?","?","TW","iPhone8,1","iphone","?","?","?","?","?"
"main_mycoupons","BSTXMA57","1477212213","88","88","4.2.3","4.2.3","true","ble","lge","Chunghwa","Taipei","?","available","true","true","4.9.2","LGE","LG-D855","Android","5.0","?","Taipei","640","2392","1440","false","?","?","TW","?","android","?","?","?","?","?"
"main_mycoupons","CHLDJB56","1477212216","88","88","4.2.3","4.2.3","false","ble","htc","台灣大哥大","Kao-sung","?","available","true","true","4.9.2","HTC","HTC One 801e","Android","5.0.2","?","Taiwan","480","1920","1080","true","?","?","TW","?","android","?","?","?","?","?"
"main_view","BWYNGY37","1477212225","1015","4.2.2","1015","4.2.2","false","?","?","中華電信","Kao-sung","?","?","false","false","2.9.9","Apple","iPhone8,4","iOS","10.0.2","LTE","Taiwan","0","568","320","true","?","?","TW","iPhone8,4","iphone","?","?","?","?","?"
"main_popularcoupons","BMQFNR62","1477212226","1015","4.2.2","1015","4.2.2","false","?","?","中華電信","Taipei","?","?","false","false","2.9.9","Apple","iPad5,4","iOS","10.0.2","WCDMA","Taipei","0","480","320","false","?","?","TW","iPad5,4","iphone","?","?","?","?","?"
"main_view","BMQFNR62","1477212226","1015","4.2.2","1015","4.2.2","false","?","?","中華電信","Taipei","?","?","false","false","2.9.9","Apple","iPad5,4","iOS","10.0.2","WCDMA","Taipei","0","480","320","false","?","?","TW","iPad5,4","iphone","?","?","?","?","?"
"main_notification","BMQFNR62","1477212227","1015","4.2.2","1015","4.2.2","false","?","?","中華電信","Taipei","?","?","false","false","2.9.9","Apple","iPad5,4","iOS","10.0.2","WCDMA","Taipei","0","480","320","false","?","?","TW","iPad5,4","iphone","?","?","?","?","?"
"main_view","CBZWZC21","1477212227","1015","4.2.2","1015","4.2.2","false","?","?","中華電信","Taipei","?","?","false","false","2.9.9","Apple","iPhone6,2","iPhone OS","9.3.3","HSDPA","Taipei","0","568","320","false","?","?","TW","iPhone6,2","iphone","?","?","?","?","?"
"main_view","BPQEVP68","1477212229","1015","4.2.2","1015","4.2.2","false","?","?","遠傳電信","Taipei","?","?","false","false","2.9.9","Apple","iPad5,4","iPhone OS","8.2","None","Taipei","0","480","320","false","?","?","TW","iPad5,4","iphone","?","?","?","?","?"
"main_view","BYXBXH58","1477212230","88","88","4.2.3","4.2.3","false","ble","Xiaomi","台灣之星","Taipei","?","available","false","true","4.9.2","Xiaomi","Redmi Note 3","Android","5.1.1","?","Taipei","480","1920","1080","true","?","?","TW","?","android","?","?","?","?","?"
"main_cardholderlogin","CBZWZC21","1477212231","1015","4.2.2","1015","4.2.2","false","?","?","中華電信","Taipei","?","?","false","false","2.9.9","Apple","iPhone6,2","iPhone OS","9.3.3","HSDPA","Taipei","0","568","320","false","?","?","TW","iPhone6,2","iphone","?","?","?","?","?"
"main_notification","BYXBXH58","1477212232","88","88","4.2.3","4.2.3","false","ble","Xiaomi","台灣之星","Taipei","?","available","false","true","4.9.2","Xiaomi","Redmi Note 3","Android","5.1.1","?","Taipei","480","1920","1080","true","?","?","TW","?","android","?","?","?","?","?"
"pointsdetail_view","f75f80b7-909b-47a2-9556-f8883a64c4a0","1477212237","88","88","4.2.3","4.2.3","false","ble","asus","遠傳電信","Taoyuan","?","available","false","true","4.9.2","asus","ASUS_Z00ED","Android","6.0.1","?","Taoyuan","320","1280","720","true","A03","A03_1_201606","TW","?","android","?","?","?","?","?"
"main_view","BPZQQK58","1477212238","1015","4.2.2","1015","4.2.2","false","?","?","中華電信","Taipei","?","?","false","false","2.9.9","Apple","iPhone8,1","iOS","10.0.2","LTE","Taipei","0","568","320","true","?","?","TW","iPhone8,1","iphone","?","?","?","?","?"
"main_view","BMQFNR62","1477212241","1015","4.2.2","1015","4.2.2","false","?","?","中華電信","Taipei","?","?","false","false","2.9.9","Apple","iPad5,4","iOS","10.0.2","WCDMA","Taipei","0","480","320","false","?","?","TW","iPad5,4","iphone","?","?","?","?","?"
"main_view","BPQEVP68","1477212247","1015","4.2.2","1015","4.2.2","false","?","?","遠傳電信","Taipei","?","?","false","false","2.9.9","Apple","iPad5,4","iPhone OS","8.2","None","Taipei","0","480","320","false","?","?","TW","iPad5,4","iphone","?","?","?","?","?"
"main_view","BSTXMA57","1477212249","88","88","4.2.3","4.2.3","true","ble","lge","Chunghwa","Taipei","?","available","true","true","4.9.2","LGE","LG-D855","Android","5.0","?","Taipei","640","2392","1440","false","?","?","TW","?","android","?","?","?","?","?"
"main_cardholderlogin","BPQEVP68","1477212252","1015","4.2.2","1015","4.2.2","false","?","?","遠傳電信","Taipei","?","?","false","false","2.9.9","Apple","iPad5,4","iPhone OS","8.2","None","Taipei","0","480","320","false","?","?","TW","iPad5,4","iphone","?","?","?","?","?"
"main_mycoupons","BSTXMA57","1477212253","88","88","4.2.3","4.2.3","true","ble","lge","Chunghwa","Taipei","?","available","true","true","4.9.2","LGE","LG-D855","Android","5.0","?","Taipei","640","2392","1440","false","?","?","TW","?","android","?","?","?","?","?"
"main_editorschoice_banner","BPZQQK58","1477212257","1015","4.2.2","1015","4.2.2","false","?","?","中華電信","Taoyuan","?","?","false","false","2.9.9","Apple","iPhone8,1","iOS","10.0.2","LTE","Taoyuan","0","568","320","true","?","?","TW","iPhone8,1","iphone","Costco 2016秋季專案","?","?","?","?"
"main_view","CAKKFR32","1477212258","1015","4.2.2","1015","4.2.2","false","?","?","中華電信","Taichung","?","?","false","false","2.9.9","Apple","iPhone6,2","iOS","10.0.2","None","Taichung","0","568","320","true","?","?","TW","iPhone6,2","iphone","?","?","?","?","?"
"main_editorchoice","CAKKFR32","1477212261","1015","4.2.2","1015","4.2.2","false","?","?","中華電信","Taichung","?","?","false","false","2.9.9","Apple","iPhone6,2","iOS","10.0.2","None","Taichung","0","568","320","true","?","?","TW","iPhone6,2","iphone","?","?","?","?","?"
"main_view","BPZQQK58","1477212263","1015","4.2.2","1015","4.2.2","false","?","?","中華電信","Taoyuan","?","?","false","false","2.9.9","Apple","iPhone8,1","iOS","10.0.2","LTE","Taoyuan","0","568","320","true","?","?","TW","iPhone8,1","iphone","?","?","?","?","?"
"main_mycoupons","BPZQQK58","1477212268","1015","4.2.2","1015","4.2.2","false","?","?","中華電信","Taoyuan","?","?","false","false","2.9.9","Apple","iPhone8,1","iOS","10.0.2","LTE","Taoyuan","0","568","320","true","?","?","TW","iPhone8,1","iphone","?","?","?","?","?"
"main_view","BPZQQK58","1477212271","1015","4.2.2","1015","4.2.2","false","?","?","中華電信","Taoyuan","?","?","false","false","2.9.9","Apple","iPhone8,1","iOS","10.0.2","LTE","Taoyuan","0","568","320","true","?","?","TW","iPhone8,1","iphone","?","?","?","?","?"
"main_notification","BPZQQK58","1477212272","1015","4.2.2","1015","4.2.2","false","?","?","中華電信","Taoyuan","?","?","false","false","2.9.9","Apple","iPhone8,1","iOS","10.0.2","LTE","Taoyuan","0","568","320","true","?","?","TW","iPhone8,1","iphone","?","?","?","?","?"
"main_mycoupons","BYXBXH58","1477212272","88","88","4.2.3","4.2.3","false","ble","Xiaomi","台灣之星","Taipei","?","available","false","true","4.9.2","Xiaomi","Redmi Note 3","Android","5.1.1","?","Taipei","480","1920","1080","true","?","?","TW","?","android","?","?","?","?","?"
"main_cardholderlogin","BYXBXH58","1477212274","88","88","4.2.3","4.2.3","false","ble","Xiaomi","台灣之星","Taipei","?","available","false","true","4.9.2","Xiaomi","Redmi Note 3","Android","5.1.1","?","Taipei","480","1920","1080","true","?","?","TW","?","android","?","?","?","?","?"
"main_editorschoice_banner","CAKKFR32","1477212276","1015","4.2.2","1015","4.2.2","false","?","?","中華電信","Taichung","?","?","false","false","2.9.9","Apple","iPhone6,2","iOS","10.0.2","None","Taichung","0","568","320","true","?","?","TW","iPhone6,2","iphone","KOKO活動","?","?","?","?"
"main_view","CBZWZC21","1477212276","1015","4.2.2","1015","4.2.2","false","?","?","中華電信","Taipei","?","?","false","false","2.9.9","Apple","iPhone6,2","iPhone OS","9.3.3","HSDPA","Taipei","0","568","320","false","?","?","TW","iPhone6,2","iphone","?","?","?","?","?"
"main_view","CAJQWG34","1477212277","88","88","4.2.3","4.2.3","false","ble","samsung","Vodafone AU","Brisbane","?","available","true","true","4.9.2","samsung","SM-N910U","Android","6.0.1","?","Queensland","640","2560","1440","false","?","?","AU","?","android","?","?","?","?","?"
"main_notification","CAJQWG34","1477212280","88","88","4.2.3","4.2.3","false","ble","samsung","Vodafone AU","Brisbane","?","available","true","true","4.9.2","samsung","SM-N910U","Android","6.0.1","?","Queensland","640","2560","1440","false","?","?","AU","?","android","?","?","?","?","?"
"main_mycoupons","CBZWZC21","1477212280","1015","4.2.2","1015","4.2.2","false","?","?","中華電信","Taipei","?","?","false","false","2.9.9","Apple","iPhone6,2","iPhone OS","9.3.3","HSDPA","Taipei","0","568","320","false","?","?","TW","iPhone6,2","iphone","?","?","?","?","?"
"main_creditcardhelper","f75f80b7-909b-47a2-9556-f8883a64c4a0","1477212287","88","88","4.2.3","4.2.3","false","ble","asus","遠傳電信","Taoyuan","?","available","false","true","4.9.2","asus","ASUS_Z00ED","Android","6.0.1","?","Taoyuan","320","1280","720","true","?","?","TW","?","android","?","?","?","?","?"
"main_mycoupons","CAJQWG34","1477212298","88","88","4.2.3","4.2.3","false","ble","samsung","Vodafone AU","Brisbane","?","available","true","true","4.9.2","samsung","SM-N910U","Android","6.0.1","?","Queensland","640","2560","1440","false","?","?","AU","?","android","?","?","?","?","?"
"hompage_register_validation","e02f62ed-0355-46e1-8f9c-cf454b96d0b2","1477212298","88","88","4.2.3","4.2.3","false","ble","asus","中華電信","?","?","available","true","true","4.9.2","asus","ASUS_Z00XS","Android","5.0","?","?","480","1920","1080","true","?","?","TW","?","android","?","?","?","?","?"
"main_view","CAKKFR32","1477212303","1015","4.2.2","1015","4.2.2","false","?","?","中華電信","Taichung","?","?","false","false","2.9.9","Apple","iPhone6,2","iOS","10.0.2","None","Taichung","0","568","320","true","?","?","TW","iPhone6,2","iphone","?","?","?","?","?"
"main_view","BPQEVP68","1477212305","1015","4.2.2","1015","4.2.2","false","?","?","遠傳電信","Taipei","?","?","false","false","2.9.9","Apple","iPad5,4","iPhone OS","8.2","None","Taipei","0","480","320","false","?","?","TW","iPad5,4","iphone","?","?","?","?","?"
"main_mycoupons","CAKKFR32","1477212305","1015","4.2.2","1015","4.2.2","false","?","?","中華電信","Taichung","?","?","false","false","2.9.9","Apple","iPhone6,2","iOS","10.0.2","None","Taichung","0","568","320","true","?","?","TW","iPhone6,2","iphone","?","?","?","?","?"
"main_mycoupons","BPQEVP68","1477212307","1015","4.2.2","1015","4.2.2","false","?","?","遠傳電信","Taipei","?","?","false","false","2.9.9","Apple","iPad5,4","iPhone OS","8.2","None","Taipei","0","480","320","false","?","?","TW","iPad5,4","iphone","?","?","?","?","?"
"main_view","CAKKFR32","1477212307","1015","4.2.2","1015","4.2.2","false","?","?","中華電信","Taichung","?","?","false","false","2.9.9","Apple","iPhone6,2","iOS","10.0.2","None","Taichung","0","568","320","true","?","?","TW","iPhone6,2","iphone","?","?","?","?","?"
"main_creditcardhelper","CAJQWG34","1477212307","88","88","4.2.3","4.2.3","false","ble","samsung","Vodafone AU","Brisbane","?","available","true","true","4.9.2","samsung","SM-N910U","Android","6.0.1","?","Queensland","640","2560","1440","false","?","?","AU","?","android","?","?","?","?","?"
"main_cardholderlogin","CAKKFR32","1477212310","1015","4.2.2","1015","4.2.2","false","?","?","中華電信","Taichung","?","?","false","false","2.9.9","Apple","iPhone6,2","iOS","10.0.2","None","Taichung","0","568","320","true","?","?","TW","iPhone6,2","iphone","?","?","?","?","?"
"main_view","BPQEVP68","1477212311","1015","4.2.2","1015","4.2.2","false","?","?","遠傳電信","Taipei","?","?","false","false","2.9.9","Apple","iPad5,4","iPhone OS","8.2","None","Taipei","0","480","320","false","?","?","TW","iPad5,4","iphone","?","?","?","?","?"
"main_view","CAKKFR32","1477212315","1015","4.2.2","1015","4.2.2","false","?","?","中華電信","Taichung","?","?","false","false","2.9.9","Apple","iPhone6,2","iOS","10.0.2","None","Taichung","0","568","320","true","?","?","TW","iPhone6,2","iphone","?","?","?","?","?"
"main_mycoupons","f75f80b7-909b-47a2-9556-f8883a64c4a0","1477212316","88","88","4.2.3","4.2.3","false","ble","asus","遠傳電信","Taoyuan","?","available","false","true","4.9.2","asus","ASUS_Z00ED","Android","6.0.1","?","Taoyuan","320","1280","720","true","?","?","TW","?","android","?","?","?","?","?"
"main_creditcardhelper","CAKKFR32","1477212318","1015","4.2.2","1015","4.2.2","false","?","?","中華電信","Taichung","?","?","false","false","2.9.9","Apple","iPhone6,2","iOS","10.0.2","None","Taichung","0","568","320","true","?","?","TW","iPhone6,2","iphone","?","?","?","?","?"
"main_view","CAKKFR32","1477212321","1015","4.2.2","1015","4.2.2","false","?","?","中華電信","Taichung","?","?","false","false","2.9.9","Apple","iPhone6,2","iOS","10.0.2","None","Taichung","0","568","320","true","?","?","TW","iPhone6,2","iphone","?","?","?","?","?"
"main_view","BUELTE62","1477212323","1015","4.2.2","1015","4.2.2","false","?","?","中華電信","Taipei","?","?","false","false","2.9.9","Apple","iPhone7,1","iPhone OS","9.2.1","None","Taipei","0","667","375","false","?","?","TW","iPhone7,1","iphone","?","?","?","?","?"
"main_popularcoupons","3F8CE5A5-B819-4236-B266-DB55BFA52B02","1477212327","1015","4.2.2","1015","4.2.2","false","?","?","中華電信","Taipei","?","?","false","false","2.9.9","Apple","iPhone7,2","iOS","10.0.2","LTE","Taipei","0","667","375","false","?","?","TW","iPhone7,2","iphone","?","?","?","?","?"
"main_view","3F8CE5A5-B819-4236-B266-DB55BFA52B02","1477212327","1015","4.2.2","1015","4.2.2","false","?","?","中華電信","Taipei","?","?","false","false","2.9.9","Apple","iPhone7,2","iOS","10.0.2","LTE","Taipei","0","667","375","false","?","?","TW","iPhone7,2","iphone","?","?","?","?","?"
"main_popularcoupons","BQBSKX27","1477212336","1015","4.2.2","1015","4.2.2","false","?","?","中華電信","Taipei","?","?","false","false","2.9.9","Apple","iPhone8,2","iOS","10.0.2","LTE","Taipei","0","736","414","true","?","?","TW","iPhone8,2","iphone","?","?","?","?","?"
"main_view","BQBSKX27","1477212336","1015","4.2.2","1015","4.2.2","false","?","?","中華電信","Taipei","?","?","false","false","2.9.9","Apple","iPhone8,2","iOS","10.0.2","LTE","Taipei","0","736","414","true","?","?","TW","iPhone8,2","iphone","?","?","?","?","?"
"main_memberdetails","CAJQWG34","1477212336","88","88","4.2.3","4.2.3","false","ble","samsung","Vodafone AU","Brisbane","?","available","true","true","4.9.2","samsung","SM-N910U","Android","6.0.1","?","Queensland","640","2560","1440","false","?","?","AU","?","android","?","?","?","?","?"
"main_creditcardhelper","BQBSKX27","1477212337","1015","4.2.2","1015","4.2.2","false","?","?","中華電信","Taipei","?","?","false","false","2.9.9","Apple","iPhone8,2","iOS","10.0.2","LTE","Taipei","0","736","414","true","?","?","TW","iPhone8,2","iphone","?","?","?","?","?"
"main_view","e02f62ed-0355-46e1-8f9c-cf454b96d0b2","1477212339","88","88","4.2.3","4.2.3","false","ble","asus","中華電信","?","?","available","true","true","4.9.2","asus","ASUS_Z00XS","Android","5.0","?","?","480","1920","1080","true","?","?","TW","?","android","?","?","?","?","?"
"main_view","a405e772-56fc-4c87-ae50-13be41d0def4","1477212345","88","88","4.2.3","4.2.3","true","ble","samsung","Chunghwa Telecom","Taipei","?","available","true","true","4.9.2","samsung","SM-G9208","Android","6.0.1","?","Taipei","640","2560","1440","false","?","?","TW","?","android","?","?","?","?","?"
